Artist Name,Genre,Popularity,Followers,ID,URI,Followers to Popularity (%),Number of Genres,Genres,Years Active
Disturbed,metal,77,6969397,3TOqt5oJwL9BE2NG9MEwDa,spotify:artist:3TOqt5oJwL9BE2NG9MEwDa,9051164.94,4,"alternative metal, nu metal, rap metal, rock",Unknown
Pearl Jam,metal,77,9169907,1w5Kfo2jwwIPruYS2UWh56,spotify:artist:1w5Kfo2jwwIPruYS2UWh56,11908970.13,7,"alternative metal, alternative rock, classic rock, grunge, hard rock, permanent wave, rock",Unknown
Skillet,metal,76,5362929,49bzE5vRBRIota4qeHtQM8,spotify:artist:49bzE5vRBRIota4qeHtQM8,7056485.53,4,"alternative metal, christian alternative rock, christian music, christian rock",Unknown
Bad Omens,metal,74,1506595,3Ri4H12KFyu98LMjSoij5V,spotify:artist:3Ri4H12KFyu98LMjSoij5V,2035939.19,1,american metalcore,Unknown
Papa Roach,metal,74,5440065,4RddZ3iHvSpGV4dvATac9X,spotify:artist:4RddZ3iHvSpGV4dvATac9X,7351439.19,5,"alternative metal, nu metal, rap metal, rap rock, rock",Unknown
3 Doors Down,metal,73,4520658,2RTUTCvo6onsAnheUk3aL9,spotify:artist:2RTUTCvo6onsAnheUk3aL9,6192682.19,4,"alternative metal, nu metal, post-grunge, rock",Unknown
Seether,metal,71,3527024,6B5c4sch27tWHAGdarpPaW,spotify:artist:6B5c4sch27tWHAGdarpPaW,4967639.44,4,"alternative metal, nu metal, post-grunge, south african rock",Unknown
Evanescence,metal,76,4929200,5nGIFgo0shDenQYSE0Sn7c,spotify:artist:5nGIFgo0shDenQYSE0Sn7c,6485789.47,1,alternative metal,Unknown
Ghost,metal,75,3353639,1Qp56T7n950O3EGMsSl81D,spotify:artist:1Qp56T7n950O3EGMsSl81D,4471518.67,2,"hard rock, metal",Unknown
A Day To Remember,metal,71,2398547,4NiJW4q9ichVqL1aUsgGAN,spotify:artist:4NiJW4q9ichVqL1aUsgGAN,3378235.21,5,"alternative metal, metalcore, neon pop punk, pop punk, screamo",Unknown
Ozzy Osbourne,metal,73,5862393,6ZLTlhejhndI4Rh53vYhrY,spotify:artist:6ZLTlhejhndI4Rh53vYhrY,8030675.34,8,"album rock, alternative metal, birmingham metal, classic rock, glam metal, hard rock, metal, rock",Unknown
TOOL,metal,72,3961722,2yEwvVSSSUkcLeSTNyHKh8,spotify:artist:2yEwvVSSSUkcLeSTNyHKh8,5502391.67,7,"alternative metal, art rock, nu metal, post-grunge, progressive metal, progressive rock, rock",Unknown
Rammstein,metal,80,10530536,6wWVKhxIU2cEi0K81v7HvP,spotify:artist:6wWVKhxIU2cEi0K81v7HvP,13163170.0,5,"german metal, industrial, industrial metal, industrial rock, neue deutsche harte",Unknown
Black Sabbath,metal,74,8313247,5M52tdBnJaKSvOpJGz8mfZ,spotify:artist:5M52tdBnJaKSvOpJGz8mfZ,11234117.57,9,"album rock, alternative metal, birmingham metal, classic rock, hard rock, metal, rock, stoner rock, uk doom metal",Unknown
Rise Against,metal,73,2776173,6Wr3hh341P84m3EI8qdn9O,spotify:artist:6Wr3hh341P84m3EI8qdn9O,3802976.71,8,"alternative metal, chicago hardcore, chicago punk, hardcore punk, modern rock, pop punk, post-grunge, punk",Unknown
Incubus,metal,71,3376743,3YcBF2ttyueytpXtEzn1Za,spotify:artist:3YcBF2ttyueytpXtEzn1Za,4755976.06,8,"alternative metal, alternative rock, funk metal, funk rock, modern rock, nu metal, post-grunge, rock",Unknown
Mötley Crüe,metal,72,5398494,0cc6vw3VN8YlIcvr1v7tBL,spotify:artist:0cc6vw3VN8YlIcvr1v7tBL,7497908.33,7,"album rock, alternative metal, glam metal, hard rock, metal, rock, sleaze rock",Unknown
Pantera,metal,72,5373603,14pVkFUHDL207LzLHtSA18,spotify:artist:14pVkFUHDL207LzLHtSA18,7463337.5,8,"alternative metal, groove metal, hard rock, metal, nu metal, old school thrash, rock, texas metal",Unknown
Rob Zombie,metal,70,3196969,3HVdAiMNjYrQIKlOGxoGh5,spotify:artist:3HVdAiMNjYrQIKlOGxoGh5,4567098.57,7,"alternative metal, hard rock, industrial metal, industrial rock, nu metal, post-grunge, rock",Unknown
Staind,metal,69,2650647,5KDIH2gF0VpelTqyQS7udb,spotify:artist:5KDIH2gF0VpelTqyQS7udb,3841517.39,3,"alternative metal, nu metal, post-grunge",Unknown
Rage Against The Machine,metal,73,6268457,2d0hyoQ5ynDBnkvAbJKORj,spotify:artist:2d0hyoQ5ynDBnkvAbJKORj,8586927.4,11,"alternative metal, alternative rock, conscious hip hop, funk metal, hard rock, nu metal, political hip hop, post-grunge, rap metal, rap rock, rock",Unknown
Sum 41,metal,75,4014622,0qT79UgT5tY4yudH9VfsdT,spotify:artist:0qT79UgT5tY4yudH9VfsdT,5352829.33,8,"alternative metal, canadian pop punk, canadian punk, modern rock, pop punk, post-grunge, punk, rock",Unknown
Godsmack,metal,69,3372234,6gZq1Q6bdOxsUPUG1TaFbF,spotify:artist:6gZq1Q6bdOxsUPUG1TaFbF,4887295.65,4,"alternative metal, nu metal, post-grunge, rap metal",Unknown
Def Leppard,metal,71,5202600,6H1RjVyNruCmrBEWRbD0VZ,spotify:artist:6H1RjVyNruCmrBEWRbD0VZ,7327605.63,6,"album rock, classic rock, glam metal, hard rock, nwobhm, rock",Unknown
I Prevail,metal,70,1594286,3Uobr6LgQpBbk6k4QGAb3V,spotify:artist:3Uobr6LgQpBbk6k4QGAb3V,2277551.43,3,"alternative metal, nu-metalcore, post-grunge",Unknown
